province,province_abb,hr_uid,region,pop,area,popdens,pwpd_250m,pwpd_1km,pwpd_30as,pwlogpd_250m,pwlogpd_1km,pwlogpd_30as,gamma_250m,gamma_1km,gamma_30as
Ontario,ON,3556,Porcupine Health Unit,81448,279906,0.290982714,2126.965332,1150.587346,1291.924683,7.086648941,6.244485652,5.892812729,0.580937738,0.660479001,0.668304719
Ontario,ON,3557,Renfrew County and District Health Unit,108272,16466,6.57533454,1270.767578,682.0887833,650.7271118,6.518235683,5.594765724,5.057699203,0.42174258,0.477967183,0.473279232
Ontario,ON,3558,The Eastern Ontario Health Unit,179622,5310,33.82720603,1435.684937,751.1504246,765.5691528,6.567690849,5.613724734,5.186011314,0.330233893,0.36101098,0.363140687
Ontario,ON,3560,Simcoe Muskoka District Health Unit,517672,9805,52.79484697,2209.349854,1223.822243,1343.168823,7.077596664,6.344627162,6.225656509,0.312125318,0.341681703,0.352082804
Ontario,ON,3561,Sudbury and District Health Unit,199751,51143,3.905743853,1751.008789,956.6662367,1002.054382,6.959420681,6.2378488,5.909096241,0.448440246,0.507476583,0.51161746
Ontario,ON,3562,Thunder Bay District Health Unit,146974,249931,0.588059895,2030.269043,1309.72306,1409.987305,7.100007534,6.445319945,6.199963093,0.535923129,0.621778757,0.626468007
Ontario,ON,3563,Timiskaming Health Unit,33640,15604,2.155857708,1170.855591,556.0812576,687.5853882,6.34673214,5.363872993,4.819212914,0.50670767,0.575020922,0.597080205
Ontario,ON,3565,Waterloo Health Unit,544119,1385,392.7704773,3947.831543,2504.740938,2549.729492,7.949333668,7.537425852,7.532149315,0.230624655,0.256478409,0.25897448
Ontario,ON,3566,Wellington-Dufferin-Guelph Health Unit,280513,4197,66.83389119,2524.551025,1504.502893,1615.81189,7.220424652,6.542749076,6.439423561,0.326737601,0.374067895,0.381735829
Ontario,ON,3568,Windsor-Essex County Health Unit,333846,1862,179.2866769,2497.244873,1657.087696,1785.430542,7.3749547,6.934274976,6.938546181,0.255673393,0.295941103,0.304223792
Ontario,ON,3570,York Regional Health Unit,1187997,2098,566.3726247,4999.562012,3287.342512,3563.813477,8.168575287,7.80395825,7.858947754,0.208984713,0.229311035,0.239835687
