hr_uid,region,area,province,province_abb,pop,pwpd,pwlogpd,popdens,gamma
1203,Zone 3 - Eastern,16520.530862371965,Nova Scotia,NS,136874.54766215285,573.0004670178674,5.488005267029773,8.285118002709318,0.43618914406436704
1204,Zone 4 - Central,7393.077307578835,Nova Scotia,NS,411750.02074895473,1990.2261457691206,6.93327769131176,55.6939963723711,0.4014381487246908
6101,Northwest Territories,1292573.6570960705,NWT,NT,40958.83999336001,1003.7575759668456,6.089253007569591,0.03168781892505778,0.7364426747900334
6201,Nunavut,2078563.1764127703,Nunavut,NU,25325.0950427723,636.1091559888516,5.862913520316554,0.012183942893897938,0.7467427348671986
3500,Entire Province,983902.1863535735,Ontario,ON,13531925.630785407,3378.4921615797634,7.442498344923919,13.753324078825248,0.39885439907369546
3526,The District of Algoma Health Unit,44445.71985139626,Ontario,ON,101907.68967912497,1143.7692121141981,6.341707288711102,2.2928572204444464,0.5804776471715293
3527,Brant County Health Unit,1142.2614390608146,Ontario,ON,149346.4892859906,1785.2416975326294,6.914121771688374,130.74632844892815,0.37127357019980356
3530,Durham Regional Health Unit,2621.3360368310214,Ontario,ON,659931.3645141805,2591.4082565299673,7.494437074169793,251.75382142610871,0.2961980528048421
3533,Grey Bruce Health Unit,8639.638257969138,Ontario,ON,151245.09330046934,554.8092772298852,5.111828669442565,17.505952076287684,0.3812929436382717
3534,Haldimand-Norfolk Health Unit,2970.9161288992373,Ontario,ON,111917.09742248291,608.0896436448373,5.279412697375703,37.67090438327171,0.34782599627215594
3535,"Haliburton, Kawartha, Pine Ridge District Health Unit",9906.086021922767,Ontario,ON,176322.19109732358,558.2692347026733,5.263417348283501,17.799380169636315,0.3744933636059302
3536,Halton Regional Health Unit,984.4490551304995,Ontario,ON,569864.8980473478,2802.127991117751,7.683592938998852,578.8668241159579,0.22882228172989547
3537,City of Hamilton Health Unit,1148.72766975287,Ontario,ON,539675.4215012193,3397.202361953602,7.74320406022643,469.8027528294166,0.2807663107137943
3538,Hastings and Prince Edward Counties Health Unit,7430.032460074396,Ontario,ON,145484.32712934574,789.4335235671109,5.560612666763804,19.580577596546465,0.4147491394508568
3539,Huron Perth Public Health Unit,5611.4563744436455,Ontario,ON,136237.13435490732,769.4631356894286,5.539510946921633,24.278391430676447,0.4003568006318223
3540,Chatham-Kent Health Unit,2547.4594810826466,Ontario,ON,101858.52017524652,1070.4220458105983,6.097984607921083,39.98435340449757,0.41914856115716054
3541,"Kingston, Frontenac and Lennox and Addington Health Unit",7197.747646585383,Ontario,ON,197618.6510877423,1468.1875114756053,6.4215666105722065,27.455623729944566,0.44803269918878696
3542,Lambton Health Unit,2966.0266837560443,Ontario,ON,109523.67965467321,1266.909719099424,6.342201942212707,36.92606012430653,0.4422048633947844
3543,"Leeds, Grenville and Lanark District Health Unit",6740.200554214623,Ontario,ON,150683.71060223994,611.1872874728904,5.341458263338586,22.35596840037912,0.37526863569991126
3544,Middlesex-London Health Unit,3335.9301028634613,Ontario,ON,464062.8310100427,2314.988224763621,7.3090976118968065,139.11047794787584,0.34661190711365275
3546,Niagara Regional Area Health Unit,1892.4847657467405,Ontario,ON,432160.12261452153,1608.4268825241843,6.925019853510798,228.35593207219236,0.2587063305289854
3547,North Bay Parry Sound District Health Unit,19017.917586715168,Ontario,ON,128100.02018356274,916.4020067321391,5.736519131204874,6.73575430114631,0.4986255054653163
3549,Northwestern Health Unit,204607.29808329933,Ontario,ON,70176.36664416238,438.7065686677653,5.1212853419906255,0.3429807602248494,0.5850029228447381
3551,City of Ottawa Health Unit,2892.07290883437,Ontario,ON,967902.4622135874,3200.1956571953283,7.716431413803632,334.6742951247705,0.28329815013488663
3553,Peel Regional Health Unit,1264.198166590034,Ontario,ON,1442267.4338714927,4800.201394482888,8.270438420885208,1140.85550192006,0.20118181973122057
3555,Peterborough CountyCity Health Unit,4212.72198946348,Ontario,ON,139885.3537291966,1219.525048122249,6.208670338437851,33.20545577872609,0.4317710481461683
3556,Porcupine Health Unit,279905.5877951082,Ontario,ON,81338.17063383438,1150.5873464229105,6.244485652022152,0.2905914500477003,0.6604790014271421
3557,Renfrew County and District Health Unit,16466.44235752822,Ontario,ON,108403.76587465254,682.0887832694808,5.594765723890633,6.583314326248007,0.47796718265992083
3558,The Eastern Ontario Health Unit,5309.973811429674,Ontario,ON,180310.09714219812,751.1504245990283,5.613724734389071,33.95687126631061,0.3610109795940716
3560,Simcoe Muskoka District Health Unit,9805.351488011287,Ontario,ON,519244.1085938966,1223.8222434208603,6.344627162046541,52.95517547012578,0.34168170271321213
3561,Sudbury and District Health Unit,51142.87476189336,Ontario,ON,199502.0627680387,956.6662367078906,6.237848800156198,3.9008769784034123,0.5074765833357401
3562,Thunder Bay District Health Unit,249930.5098127689,Ontario,ON,144128.34087710764,1309.7230601699412,6.445319944984145,0.576673656149779,0.621778757474044
3563,Timiskaming Health Unit,15604.119691276166,Ontario,ON,33664.89131102816,556.0812575563043,5.363872992550569,2.1574361115577236,0.5750209222415923
3565,Waterloo Health Unit,1385.336587072551,Ontario,ON,542721.4829759151,2504.740937604237,7.537425852311835,391.76145930194247,0.2564784086836466
3566,Wellington-Dufferin-Guelph Health Unit,4197.168831453352,Ontario,ON,278687.68376855913,1504.5028932019293,6.542749076332844,66.39896915275101,0.3740678953897373
3568,Windsor-Essex County Health Unit,1862.0806396352975,Ontario,ON,332366.3271878497,1657.0876964896052,6.9342749758429045,178.4919085206461,0.29594110335578
