rank_GPW_30as,rank_GPW_2.5am,rank_GHS_1km,name,threelett,area,pop,pwpd_GHS_1km,pwlogpd_GHS_1km,popdens,gamma_GHS_1km,pwpd_GPW_30as,pwlogpd_GPW_30as,pwpd_GPW_2.5am,pwlogpd_GPW_2.5am,pwpd_GPW_15am,pwlogpd_GPW_15am,pwpd_GPW_30am,pwlogpd_GPW_30am,pwpd_GPW_1deg,pwlogpd_GPW_1deg
39,34,25,Angola,AGO,1246700,24612269.66,12672.56994,8.758047156,19.74193443,0.460561782,3136.247559,5.025258541,2534.52417,4.941664219,793.0247803,4.498755932,112.4871063,3.673228502,193.8903656,4.143292427
40,71,130,Portugal,PRT,92225.5957,9447206.581,2836.045965,6.977873427,102.4358423,0.290494354,3136.085205,7.033376694,1537.784912,6.329278469,840.2463379,5.880284309,580.0249023,5.478027344,203.2709961,4.858357906
41,49,131,Canada,CAN,9984670,33867034.75,2802.293516,7.111234331,3.391903263,0.416763978,3033.038818,7.007738113,2012.453003,6.53253746,916.8455811,5.586016655,558.8867798,5.154955387,351.1927795,4.754591465
42,36,108,Belarus,BLR,207600,9512556.249,4078.318606,7.239361837,45.82156189,0.366621762,2948.446533,5.895166874,2474.769287,5.75136137,897.9661255,5.135804653,262.9482727,4.6119771,108.9837265,4.176473618
43,33,90,Israel,ISR,22070,7204107.614,5164.272856,8.033778281,326.4208253,0.276078705,2871.573486,7.310223103,2542.076416,7.240074158,1760.44165,7.004181862,548.5129395,6.131060123,579.4667358,6.361347198
44,42,18,Democratic Republic of the Congo,COD,2344860,76532384.21,16654.45637,8.637847702,32.63835974,0.425078875,2856.358154,4.885622978,2238.964844,4.843411922,900.0805664,4.614177704,141.5204926,4.136702061,147.3669891,4.246765614
45,80,53,Central African Republic,CAF,622980,4876111.408,8294.426931,8.19625352,7.82707536,0.522081351,2806.191895,3.952270508,1384.578125,3.80188489,216.7639923,3.344633102,15.15249634,2.441529751,32.69746017,2.873092175
46,35,26,Pakistan,PAK,796100,188310246.3,12658.87801,8.31391037,236.540945,0.292916179,2788.640625,6.570207596,2479.477051,6.543763638,1602.759033,6.43504715,901.7374268,6.280171871,622.343811,6.136264801
47,32,79,Argentina,ARG,2780400,43084841.72,5944.181098,8.234527615,15.49591488,0.400967069,2758.053711,5.596980572,2551.182617,5.533630848,1989.234741,5.373902798,1125.862061,5.092297077,724.875061,4.751484394
48,39,125,France,FRA,549086.9922,64514958.93,3221.188608,6.866287966,117.4949686,0.250537768,2747.267822,6.292675972,2345.831543,6.17135334,1449.882935,5.781864166,784.826355,5.467570782,355.8131714,5.195592403
49,61,102,Albania,ALB,28750,2840088.882,4440.827141,7.467094632,98.78570025,0.370689399,2671.306641,6.403038025,1742.199463,6.137709618,437.5275574,5.411247253,241.3762512,5.073445797,209.3270416,5.136312008
50,47,101,Armenia,ARM,29740,3005264.657,4647.043942,7.762732614,101.0512662,0.371676345,2632.265869,6.673068047,2036.565308,6.419959545,582.15448,5.612202644,243.2103577,5.146670341,220.7689362,5.397116661
51,40,54,Chile,CHL,756096.0156,17609025.47,8284.721009,8.391721088,23.28940387,0.43396889,2571.734863,6.031964302,2302.121338,5.962337971,1184.625122,5.612545013,572.2102051,5.194433212,349.9792786,4.946768761
52,57,111,Panama,PAN,75420,3860743.707,3988.560315,7.472039925,51.18991921,0.387829204,2571.527588,6.014091015,1789.129395,5.852183819,402.7666931,5.049652576,215.5998993,4.908530712,143.6679993,4.555030346
53,46,64,Ivory Coast,CIV,322460,22134007.65,7372.589871,8.153083835,68.64109547,0.368711042,2561.509033,5.288566113,2059.688721,5.234315395,760.0915527,5.070313931,424.5076294,4.911623001,146.2014618,4.615271568
54,43,13,India,IND,3287259.063,1299446920,18260.34117,8.803850395,395.297996,0.255428371,2530.952881,6.689434052,2224.739746,6.660974503,1469.821777,6.548530579,927.8578491,6.427046776,750.4744263,6.33365345
55,151,132,São Tomé and Principe,STP,960,159908.2208,2753.764554,6.839755518,166.5710633,0.408523287,2529.279297,6.46876049,610.7130127,5.736990452,343.7407532,5.666709423,0,0,0,0
56,59,65,Mali,MLI,1240190,17734238.84,7233.86824,7.880367217,14.29961445,0.443759989,2515.669678,4.782799244,1763.140625,4.679172516,455.8726196,4.317229271,154.8687439,4.032044888,70.56365204,3.784789562
57,41,63,Indonesia,IDN,1913580,244776566.4,7441.822155,8.125778538,127.9155125,0.280929507,2455.314697,6.487722397,2261.763672,6.458518505,1686.26709,6.343765736,1428.410767,6.250163078,1024.032715,6.236915112
58,53,27,Nigeria,NGA,923770,180679006.9,12447.51343,8.585103107,195.5887363,0.302358471,2424.133301,6.149142265,1915.468384,6.105461121,873.4432373,5.884652138,527.5637817,5.749059677,312.7071838,5.485029697
59,51,112,Russia,RUS,17098250,145088758.7,3897.956602,7.317165953,8.485591139,0.368059268,2413.602539,5.505134583,1960.208496,5.382827282,1021.111816,4.904871464,717.8696899,4.599236488,312.8449402,4.217835903
60,115,127,Namibia,NAM,824290,2594560.894,2979.748789,5.926818133,3.147631166,0.50306889,2410.002197,5.177641869,1001.483643,4.631325245,118.2820282,3.360465527,45.02993774,2.791000128,21.94442368,2.410058498
61,50,99,Spain,ESP,505923.9844,43707003.57,4779.142535,7.611570585,86.39045572,0.305550169,2342.803955,6.42082119,2007.261841,6.291181564,1136.92981,5.836562157,393.0350342,5.241167068,250.443634,4.943133354
62,48,61,Ghana,GHA,238540,26864247.65,7633.041178,8.215740197,112.619467,0.340504564,2311.328125,5.920427322,2021.679688,5.867540359,1103.790405,5.768773556,510.0959167,5.420219421,315.492218,5.241887569
63,60,52,United Republic of Tanzania,TZA,947300,53009929.96,8382.452993,8.115517557,55.95896755,0.364010034,2310.779785,5.494803429,1752.958252,5.40089798,567.826416,5.066366673,479.6734314,4.959072113,122.6497879,4.476264
64,58,110,Costa Rica,CRI,51100,4749111.841,3993.883158,7.748814157,92.93760942,0.346868705,2231.307373,6.288728714,1786.074219,6.17131567,796.2233276,5.727687836,309.4965515,5.29375124,73.78778839,4.244791985
65,65,8,Yemen,YEM,527970,26347438.86,27412.75825,9.060594578,49.9032878,0.478771738,2210.929199,5.901622295,1658.529541,5.825610161,528.421875,5.501241207,318.8235474,5.322730064,218.0029297,5.131948948
66,64,133,Sri Lanka,LKA,65610,19650384.31,2732.505676,7.271955831,299.5028853,0.199328635,2176.039307,6.775635242,1706.98584,6.637949467,1275.398926,6.38074398,408.8591919,5.826377869,349.5014038,5.734562397
67,54,80,Syria,SYR,185180,18141544.43,5853.799854,7.895209833,97.967083,0.337223724,2151.357422,6.158878803,1861.095581,6.100256443,727.2842407,5.766329288,430.0032654,5.529175758,265.3121948,5.330877304
68,69,156,Australia,AUS,7741220,23310174.92,2070.029267,7.099885851,3.011175876,0.411862224,2137.297607,6.900090694,1557.895264,6.507797241,965.1852417,5.747226715,544.2407227,5.224691868,147.073288,4.131045341
69,78,158,United States of America,USA,9831510,316840337.8,1973.397896,6.69434506,32.22702695,0.255554336,2095.231445,6.641583443,1424.75647,6.253282547,776.1566162,5.613046169,594.3476563,5.317225933,217.2305603,4.777637959
70,72,116,Mauritius,MUS,2040,1190347.972,3649.328502,7.801422834,583.503908,0.240561377,2082.75708,7.179228783,1523.785522,6.967194557,622.9742432,6.40865469,604.0988159,6.403738022,656.1943359,6.486456871
71,70,92,Georgia,GEO,69700,3899984.663,4989.084755,7.444414015,55.95386891,0.402663025,2057.224365,5.7332654,1547.440552,5.607027054,484.3846741,5.049168587,219.4098358,4.750980854,91.97666168,4.2638731
72,79,95,Cambodia,KHM,181040,15390661.44,4893.673309,7.643030704,85.01249141,0.33477134,2053.36792,5.660583019,1404.36438,5.574390888,508.8049316,5.31810236,263.3319702,5.108250141,176.4438477,4.914496422
73,84,88,Sierra Leone,SLE,72300,5822962.313,5320.428756,7.593772693,80.53889782,0.374539854,2043.505737,5.392343521,1340.348877,5.269364357,305.2562866,4.909869194,86.73429108,4.340622902,79.54081726,4.311350822
