rank_GHS_250m,rank_GHS_1km,rank_GPW_30as,fips_state,fips_county,county,countylong,state,stateabb,pop,landarea,popdens,pwpd_GHS_250m,pwpd_GHS_1km,pwpd_GPW_30as,pwpd_GPW_2.5as,pwlogpd_GHS_250m,pwlogpd_GHS_1km,pwlogpd_GPW_30as,pwlogpd_GPW_2.5as,gamma_GHS_250m,gamma_GHS_1km
344,421,439,72,69,Humacao,Humacao Municipio,Puerto Rico,PR,57011.23894,115.818155,492.2478599,2294.284668,1012.813922,1058.063965,594.2439575,7.38860178,6.684165298,6.697314739,6.309742451,0.201866846,0.151831269
345,393,414,40,31,Comanche,Comanche County,Oklahoma,OK,127654.1835,2769.65395,46.09030074,2283.283936,1047.718502,1084.537231,519.4359741,7.167195797,6.446901146,6.385207653,5.6202631,0.364807652,0.394092789
346,1151,985,6,109,Tuolumne,Tuolumne County,California,CA,54973.37604,5752.029633,9.557213635,2282.508301,504.0382157,594.0098267,165.3780975,6.52983284,5.494808025,5.324677944,4.684006691,0.478660661,0.458035667
347,320,296,72,153,Yauco,Yauco Municipio,Puerto Rico,PR,39248.04421,175.371927,223.7988992,2278.095215,1179.020609,1279.905884,692.6654663,7.168894768,6.555104993,6.530596256,6.073612213,0.290616999,0.321602625
348,328,344,19,13,Black Hawk,Black Hawk County,Iowa,IA,131566.3579,1465.331241,89.78608671,2277.216309,1160.565261,1197.865845,752.5602417,7.112942696,6.551134099,6.539941311,6.095543385,0.32152052,0.351068559
349,218,193,34,29,Ocean,Ocean County,New Jersey,NJ,603607.7925,1627.387052,370.9061048,2271.946045,1391.729468,1575.362915,943.8539429,7.33191967,6.904598267,7.010528088,6.631129265,0.177835109,0.178823751
350,624,535,8,75,Logan,Logan County,Colorado,CO,23622.10346,4761.947979,4.960596707,2262.345703,803.6363797,925.3442383,186.9862061,6.600411892,5.695066535,5.654493809,4.411856651,0.544671302,0.60077625
351,211,222,19,153,Polk,Polk County,Iowa,IA,456089.8794,1482.025679,307.7476227,2260.290527,1419.478177,1491.863525,957.942627,7.420395374,7.004908119,7.029657841,6.583808899,0.197730608,0.209386383
352,447,382,72,123,Salinas,Salinas Municipio,Puerto Rico,PR,31732.11039,179.731087,176.5532659,2257.016357,990.8854012,1136.234131,291.4945679,7.330107212,6.534515925,6.603944778,5.516195297,0.322693068,0.332271785
353,749,809,37,189,Watauga,Watauga County,North Carolina,NC,55256.93657,809.217076,68.2844421,2245.713867,716.1751686,703.9529419,247.6728973,6.473814011,5.572234076,5.288272381,4.902915478,0.368858089,0.350988537
354,486,440,46,11,Brookings,Brookings County,South Dakota,SD,33690.29421,2051.856894,16.41941712,2245.51416,948.9367171,1057.634033,422.2030029,6.750707626,6.002101424,5.956910133,5.178028107,0.472974724,0.531944832
355,185,191,49,57,Weber,Weber County,Utah,UT,246584.542,1492.536927,165.2116859,2244.903076,1498.110723,1581.228882,955.6878052,7.398860931,7.015262462,7.032488346,6.615521431,0.257850176,0.30167793
356,256,255,34,35,Somerset,Somerset County,New Jersey,NJ,335301.0053,781.830431,428.8666596,2241.494629,1307.95912,1378.940063,605.0839844,7.227176666,6.767079083,6.765053749,6.242071152,0.175765708,0.167387847
357,616,870,72,45,Comerío,Comerío Municipio,Puerto Rico,PR,20211.37235,73.557188,274.7708674,2237.174072,807.0986038,666.7553711,375.7314758,7.248187065,6.292304435,6.049423695,5.81079483,0.290237498,0.250696247
358,303,313,72,5,Aguadilla,Aguadilla Municipio,Puerto Rico,PR,58600.61473,94.616373,619.3496207,2236.138428,1207.48468,1239.6698,679.6620483,7.35792923,6.867082976,6.855790138,6.401102066,0.174445434,0.146736184
359,619,505,2,130,Ketchikan Gateway,Ketchikan Gateway Borough,Alaska,AK,13055.15218,12579.37851,1.037821715,2229.304688,805.6498316,971.9142456,280.9506531,7.25883007,6.200225039,6.264986038,5.270773888,0.628241651,0.704942396
360,248,269,51,87,Henrico,Henrico County,Virginia,VA,332437.4074,605.218124,549.2852811,2225.67334,1323.593849,1341.351929,981.9769897,7.382333279,6.977629187,6.963932037,6.725482941,0.153717353,0.137300098
361,1275,1169,8,15,Chaffee,Chaffee County,Colorado,CO,18449.75036,2624.715697,7.029237634,2219.823975,458.8105393,520.0966187,115.2102661,6.33028698,5.321981851,5.050207138,4.078848362,0.540599405,0.530763818
362,225,200,42,69,Lackawanna,Lackawanna County,Pennsylvania,PA,213557.5669,1188.213226,179.7300032,2219.199219,1380.935575,1548.994751,817.6323242,7.203547478,6.690860114,6.696389675,6.198922157,0.255446221,0.287994554
363,431,490,48,39,Brazoria,Brazoria County,Texas,TX,352323.497,3530.854236,99.78420899,2218.716553,1002.557601,996.2475586,521.4493408,7.112019062,6.465231828,6.354511738,5.78223896,0.283335473,0.282435588
364,840,1039,28,121,Rankin,Rankin County,Mississippi,MS,155051.6039,2008.522848,77.19683351,2218.49585,661.7642254,570.8883057,285.1986389,6.872453213,5.943629285,5.673939228,5.222741604,0.32344685,0.282512447
