name,threelett,area,pop,pwpd,pwlogpd,popdens,gamma
Mauritania,MRT,1030700.0,3753987.75,28.09220314025879,2.8306872844696045,3.642173037741341,0.0
Malta,MLT,320.0,0.0,0.0,0.0,0.0,0.0
Mali,MLI,1240190.0,17861286.0,70.56365203857422,3.784789562225342,14.40205613655972,0.0
Maldives,MDV,300.0,0.0,0.0,0.0,0.0,0.0
Malaysia,MYS,330345.0,29437972.0,541.7960815429688,5.689023971557617,89.1128123628328,0.0
Malawi,MWI,118480.0,14996315.0,194.32948303222656,5.153477191925049,126.57254388926401,0.0
Madagascar,MDG,587295.0,21739392.0,97.30055236816406,4.109489917755127,37.016136694506166,0.0
Macedonia,MKD,25710.0,1962831.5,75.09029388427734,4.2949748039245605,76.34506028782575,0.0
Luxembourg,LUX,2590.0,0.0,0.0,0.0,0.0,0.0
Lithuania,LTU,65286.0009765625,2876120.0,59.813621520996094,3.9739420413970947,44.054161029598355,0.0
Liechtenstein,LIE,160.0,0.0,0.0,0.0,0.0,0.0
Libya,LBY,1759540.0,5994236.0,83.83577728271484,3.3358373641967773,3.4067062982370393,0.0
Liberia,LBR,111370.0,4883471.5,116.64541625976562,4.4095587730407715,43.84907515488911,0.0
Lesotho,LSO,30360.0,1408506.75,79.0980453491211,4.289478778839111,46.39350296442688,0.0
Lebanon,LBN,10450.0,4842262.0,700.2134399414062,6.551385402679443,463.37435406698563,0.0
Latvia,LVA,64490.0,2116524.25,47.068641662597656,3.6074860095977783,32.81941773918437,0.0
Laos,LAO,236800.0,6302736.5,38.34088134765625,3.5536839962005615,26.61628589527027,0.0
Kyrgyzstan,KGZ,199949.00390625,10382703.0,164.56625366210938,4.6694183349609375,51.926755308409206,0.0
Kuwait,KWT,17820.0,1914205.75,184.62777709960938,5.218341827392578,107.41895342312009,0.0
Kosovo,KOS,0.0,0.0,0.0,0.0,0.0,0.0
Kiribati,KIR,810.0,0.0,0.0,0.0,0.0,0.0
Kenya,KEN,580370.0,44320468.0,297.21380615234375,5.2643351554870605,76.36588383272739,0.0
Kazakhstan,KAZ,2724901.875,17216176.0,49.545631408691406,2.960705041885376,6.318090261507123,0.0
Jordan,JOR,89320.0,6305164.0,417.7630920410156,5.691349029541016,70.59072995969548,0.0
Japan,JPN,377971.015625,103923448.0,1713.37939453125,6.743687152862549,274.95083936040896,0.0
