name,threelett,area,pop,pwpd,pwlogpd,popdens,gamma
Denmark,DNK,42920,5137959,1713.205688,6.055580616,119.7101351,0
Czechia,CZE,78870,10525644,648.5803223,5.709204674,133.4556105,0
Northern Cyprus,CYN,0,0,0,0,0,0
Cyprus,CYP,9250,730770.75,990.7616577,6.219486713,79.00224324,0
Cuba,CUB,109880,11002185,869.0956421,5.433371544,100.1290954,0
Croatia,HRV,56590,3974802.5,483.6645203,5.273857594,70.23860223,0
Ivory Coast,CIV,322460,21918432,2059.688721,5.234315395,67.97256094,0
Costa Rica,CRI,51100,4774641,1786.074219,6.17131567,93.43720157,0
Democratic Republic of the Congo,COD,2344860,77433168,2238.964844,4.843411922,33.02251222,0
Republic of the Congo,COG,342000,4211207.5,3347.870605,5.004855156,12.31347222,0
Comoros,COM,1861.000061,565864.1875,749.5958862,6.348662853,304.0645722,0
Colombia,COL,1141748.984,47788564,1796.101318,5.965462208,41.85557829,0
China,CHN,9562911.25,1354524416,3350.34668,6.725603104,141.6435205,0
China,MAC,30.39999962,113763.3203,6285.578125,8.746012688,3742.214531,0
China,HKG,1105.999985,6436991,19165.58008,9.587386131,5820.064276,0
Chile,CHL,756096.0156,17606052,2302.121338,5.962337971,23.2854712,0
Chad,TCD,1284000,13988464,267.2932129,3.599653244,10.89444237,0
Central African Republic,CAF,622980,4908772,1384.578125,3.80188489,7.87950175,0
Cabo Verde,CPV,4030,439539.5313,1027.240234,5.935619354,109.0668812,0
Canada,CAN,9984670,33785336,2012.453003,6.53253746,3.383720844,0
Cameroon,CMR,475440,23154730,1735.321777,5.387585163,48.70168686,0
Cambodia,KHM,181040,15523458,1404.36438,5.574390888,85.74601193,0
Myanmar,MMR,676590,52929552,1493.080688,5.343376637,78.22987629,0
Burundi,BDI,27830,11144534,1005.424622,6.326921463,400.4503773,0
Burkina Faso,BFA,274220,18082708,701.9575806,4.857507229,65.94233827,0
Bulgaria,BGR,111000,7227072,442.4201965,4.988996029,65.10875676,0
Brunei,BRN,5770,376532.7813,582.3657837,5.937473297,65.25698115,0
Brazil,BRA,8515770,200578688,3517.03125,6.803529263,23.55379349,0
Botswana,BWA,581730,2233860.75,97.3008728,2.793756962,3.840030169,0
